id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enable,clienteId,colorId,razaId,especieId
189,PANCHO,MACHO,2010-07-12T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,146,3,330,1
190,MILOS,MACHO,2003-08-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,147,1,334,1
191,LORENZO,MACHO,1994-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,148,1,29,1
192,PEPE,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,148,1,347,1
193,CARLOTA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,148,1,124,1
194,RODRIGUEZ,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,149,1,113,1
195,NERON,MACHO,1998-04-13T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,150,1,197,1
196,PANDA,HEMBRA,2009-11-15T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,151,1,326,1
197,PANDA 2,HEMBRA,2009-11-28T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,151,10,331,1
198,BONGO,MACHO,2006-06-22T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,151,7,74,1
